ERCC,ercc_ref,Quartile,Gosling_1_TagSeq,Gosling_2_TagSeq,Roberts_1_TagSeq,Roberts_2_TagSeq,Gosling_1_TruSeq,Gosling_2_TruSeq,Roberts_1_TruSeq,Roberts_2_TruSeq
,,,,,,,,,,
ERCC-00130,30000,4,9332,8318,9416,9414,247594,217665,416133,368829
,,,,,,,,,,
ERCC-00002,15000,4,6393,5575,6718,6450,163984,155399,279093,253955
,,,,,,,,,,
ERCC-00074,15000,4,7375,6456,7591,7238,96315,84307,148959,142655
,,,,,,,,,,
ERCC-00096,15000,4,5711,5224,6101,5729,165909,153169,287144,255191
,,,,,,,,,,
ERCC-00004,7500,4,3718,3248,3809,3747,59640,48546,87775,82829
,,,,,,,,,,
ERCC-00046,3750,4,2893,2602,2911,2912,35576,29314,55388,53359
,,,,,,,,,,
ERCC-00113,3750,4,2652,2342,2698,2631,37483,34347,63634,57318
,,,,,,,,,,
ERCC-00171,3750,4,2253,1803,2058,2131,20806,17721,32132,30596
,,,,,,,,,,
ERCC-00136,1875,4,1726,1586,1682,1758,11795,10598,20690,17683
,,,,,,,,,,
ERCC-00003,937.5,4,1717,1540,1649,1686,15791,13287,24673,22155
,,,,,,,,,,
ERCC-00009,937.5,4,758,637,760,697,4635,4094,7582,7113
,,,,,,,,,,
ERCC-00108,937.5,4,428,412,495,463,10336,9640,16554,15992
,,,,,,,,,,
ERCC-00145,937.5,4,693,612,621,669,7692,6542,12079,11658
,,,,,,,,,,
ERCC-00042,468.75,4,480,392,499,481,8898,7705,14483,13319
,,,,,,,,,,
ERCC-00043,468.75,4,1027,911,979,1095,7186,5479,10509,10117
,,,,,,,,,,
ERCC-00111,468.75,4,783,711,728,781,5486,5034,8996,8007
,,,,,,,,,,
ERCC-00116,468.75,4,119,102,107,106,826,875,1677,1461
,,,,,,,,,,
ERCC-00022,234.375,4,229,185,219,223,1800,1698,3128,2700
,,,,,,,,,,
ERCC-00060,234.375,4,594,510,564,636,2107,1681,3194,2998
,,,,,,,,,,
ERCC-00076,234.375,4,316,290,327,316,2157,1805,3247,3006
,,,,,,,,,,
ERCC-00092,234.375,4,201,156,162,193,3128,2726,5175,4599
,,,,,,,,,,
ERCC-00035,117.1875,3,65,41,54,51,683,651,1166,1061
,,,,,,,,,,
ERCC-00044,117.1875,3,76,50,79,80,507,491,863,801
,,,,,,,,,,
ERCC-00095,117.1875,3,88,62,91,109,881,701,1457,1124
,,,,,,,,,,
ERCC-00112,117.1875,3,132,123,133,139,992,961,1577,1406
,,,,,,,,,,
ERCC-00131,117.1875,3,154,136,169,141,1952,1428,2597,3178
,,,,,,,,,,
ERCC-00025,58.59375,3,83,58,55,70,968,888,1682,1446
,,,,,,,,,,
ERCC-00051,58.59375,3,108,83,109,113,135,106,257,224
,,,,,,,,,,
