,OneH_Tru,ThreeH_Tru,SixH_Tru,SevenH_Tru
ENSGACG00000016217,2129,1669,2838,3011
ENSGACG00000016220,5121,5544,13768,11861
ENSGACG00000016224,641,515,884,926
ENSGACG00000016231,18,13,35,40
ENSGACG00000016234,4225,3558,6581,6994
ENSGACG00000016271,2267,2535,5043,4943
ENSGACG00000016277,1179,1152,2364,2180
ENSGACG00000016279,315,258,476,571
ENSGACG00000016282,179,170,411,572
ENSGACG00000016283,112,95,358,309
ENSGACG00000016300,68,80,144,109
ENSGACG00000016304,383,435,1279,1227
ENSGACG00000016311,1908,1130,3071,2963
ENSGACG00000016318,1256,1130,2475,2257
ENSGACG00000016320,2436,2252,4313,3932
ENSGACG00000016321,2670,2623,5411,4777
ENSGACG00000016326,5669,4798,8447,7869
ENSGACG00000016329,734,1312,2519,2199
ENSGACG00000016332,3612,2361,4537,5536
ENSGACG00000016337,4395,3692,5276,9980
ENSGACG00000016340,2158,1940,2364,4174
ENSGACG00000016341,20,15,46,48
ENSGACG00000016344,835,776,807,1142
ENSGACG00000016352,6,4,10,15
ENSGACG00000016353,2447,1755,3132,3093
ENSGACG00000016356,4014,3961,9426,6382
ENSGACG00000016358,364,361,582,804
ENSGACG00000016360,228,180,376,310
ENSGACG00000016362,247,230,452,517
ENSGACG00000016363,3894,3358,6546,7200
ENSGACG00000016366,722,532,688,767
ENSGACG00000016370,0,0,4,0
ENSGACG00000016372,672,416,552,805
ENSGACG00000016378,11,8,6,12
ENSGACG00000016380,1205,872,1706,1395
ENSGACG00000016381,4481,3987,9002,9220
ENSGACG00000016387,217,170,382,322
ENSGACG00000016388,4384,4015,8148,7545
ENSGACG00000016398,13731,11757,24495,24323
ENSGACG00000016402,13,8,33,62
ENSGACG00000016407,34,9,37,12
ENSGACG00000016409,45,34,42,21
ENSGACG00000016411,934,492,764,1393
ENSGACG00000016419,65,17,56,42
ENSGACG00000016422,51,29,76,45
ENSGACG00000016423,73,5,79,11
ENSGACG00000016424,17,7,24,6
ENSGACG00000016426,54,42,102,79
ENSGACG00000016428,8,11,57,3
ENSGACG00000016431,26,17,8,10
ENSGACG00000016437,805,536,1195,977
ENSGACG00000016443,1873,1690,3029,3043
ENSGACG00000016447,38807,27690,48443,52940
ENSGACG00000016449,15418,11131,20691,22765
ENSGACG00000016452,1205,1192,2515,2236
ENSGACG00000016458,1319,1183,1451,1735
ENSGACG00000016464,23,31,21,27
ENSGACG00000016470,8,14,2,52
ENSGACG00000016472,159,105,411,230
ENSGACG00000016474,14573,16988,29782,26140
ENSGACG00000016479,3407,3640,7597,6418
ENSGACG00000016483,0,0,9,22
ENSGACG00000016488,312,150,670,787
ENSGACG00000016495,3,3,0,0
ENSGACG00000016496,0,0,0,0
ENSGACG00000016498,39,41,57,64
ENSGACG00000016501,2,3,0,4
ENSGACG00000016511,8,4,5,7
ENSGACG00000016513,0,1,2,27
ENSGACG00000016524,62,61,96,163
ENSGACG00000016536,1018,862,2039,2280
ENSGACG00000016544,1469,1527,3670,3533
ENSGACG00000016550,10,7,18,31
ENSGACG00000016556,23,12,34,33
ENSGACG00000016558,10,14,9,24
ENSGACG00000016571,57,60,84,150
ENSGACG00000016577,0,0,2,4
ENSGACG00000016581,10,12,9,9
ENSGACG00000016587,2643,2218,4084,4200
ENSGACG00000016609,10098,7227,13345,15184
ENSGACG00000016624,330,344,386,472
ENSGACG00000016634,30,22,25,31
ENSGACG00000016641,2719,2784,4935,4910
ENSGACG00000016642,180,123,197,295
ENSGACG00000016645,330,290,597,726
ENSGACG00000016649,24,24,44,158
ENSGACG00000016652,0,0,0,3
ENSGACG00000016656,0,0,0,0
ENSGACG00000016658,0,2,0,17
ENSGACG00000016664,0,0,0,0
ENSGACG00000016665,3693,2899,6412,7300
ENSGACG00000016673,89,104,107,108
ENSGACG00000016676,1071,965,1629,1579
ENSGACG00000022533,3,0,0,1
ENSGACG00000016683,99,84,63,131
ENSGACG00000016686,162,146,433,415
ENSGACG00000016689,11,8,20,12
ENSGACG00000016691,4,2,2,16
ENSGACG00000016692,1555,719,1416,1343
ENSGACG00000016693,12,2,44,32
ENSGACG00000016695,1849,1797,3013,3123
ENSGACG00000016697,14,17,12,34
ENSGACG00000016706,1226,1010,2025,2494
ENSGACG00000016709,26,35,26,27
ENSGACG00000016712,0,0,0,0
ENSGACG00000016715,590,559,1547,1361
ENSGACG00000016720,75,80,145,139
ENSGACG00000016721,191,201,262,415
ENSGACG00000016725,265,273,291,516
ENSGACG00000016731,629,504,1045,1081
ENSGACG00000016734,783,473,848,944
ENSGACG00000016736,161,168,258,281
ENSGACG00000016744,14,13,4,2
ENSGACG00000016745,657,465,1050,1144
ENSGACG00000016749,5052,4721,8598,10115
ENSGACG00000016750,6,25,86,85
ENSGACG00000016751,4420,3841,7093,5781
ENSGACG00000016755,480,1374,2547,1460
ENSGACG00000016757,1231,1282,2597,2414
ENSGACG00000016763,370,312,444,352
ENSGACG00000016772,4056,3396,6821,6561
ENSGACG00000016791,235,142,209,194
ENSGACG00000016794,217,193,431,320
ENSGACG00000016796,13,5,4,11
ENSGACG00000016798,1898,1972,3360,3496
ENSGACG00000016803,1930,1718,2383,3013
ENSGACG00000016808,12,13,22,47
ENSGACG00000016810,39,26,45,66
ENSGACG00000016811,24,17,57,33
ENSGACG00000016814,56,50,162,176
ENSGACG00000021401,0,0,0,1
ENSGACG00000016819,35,20,43,69
ENSGACG00000016821,2544,2020,4611,4354
ENSGACG00000016824,21,40,65,88
ENSGACG00000016828,0,1,2,4
ENSGACG00000016829,669,535,802,1012
ENSGACG00000016847,5861,4674,7102,13496
ENSGACG00000016848,3514,1840,3173,4588
ENSGACG00000016854,51,41,74,69
ENSGACG00000016856,304,236,374,320
ENSGACG00000016859,221,210,409,549
ENSGACG00000016862,71,37,90,71
ENSGACG00000016868,7218,6449,11414,10402
ENSGACG00000016876,2987,2383,4219,4457
ENSGACG00000016877,367,210,522,522
ENSGACG00000016886,550,528,866,1095
ENSGACG00000016892,2813,2082,3475,4264
ENSGACG00000016896,138,87,147,172
ENSGACG00000016900,4,11,7,9
ENSGACG00000016901,14182,14266,18002,22363
ENSGACG00000016902,4,4,4,21
ENSGACG00000016903,93,88,156,223
ENSGACG00000016915,1725,1661,3242,3524
ENSGACG00000016919,1458,1583,3131,2828
ENSGACG00000016922,1759,1869,3261,5377
ENSGACG00000016923,9,8,6,18
ENSGACG00000016924,5240,4573,12658,11213
ENSGACG00000016927,4906,3881,10234,8774
ENSGACG00000016930,181,178,316,306
ENSGACG00000016933,3,0,4,8
ENSGACG00000016934,3180,2560,4261,4709
